accession	organism_name	species_taxid	ftp_path
GCF_048685885.1	Bacillus anthracis	1392	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/685/885/GCF_048685885.1_ASM4868588v1/
GCF_050780025.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/780/025/GCF_050780025.1_ASM5078002v1/
GCF_050908105.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/908/105/GCF_050908105.1_MW2_P0_assembly/
GCF_050916415.1	Staphylococcus capitis	29388	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/916/415/GCF_050916415.1_JFBB_Scap_D3/
GCF_051027605.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/027/605/GCF_051027605.1_ASM5102760v1/
GCF_051788185.1	Bacillus halotolerans	260554	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/788/185/GCF_051788185.1_ASM5178818v1/
GCF_051903245.1	Staphylococcus pseudintermedius	283734	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/903/245/GCF_051903245.1_ASM5190324v1/
GCF_052119905.1	Priestia megaterium	1404	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/119/905/GCF_052119905.1_ASM5211990v1/
GCF_052907245.1	Paenibacillus tundrae	528187	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/907/245/GCF_052907245.1_ASM5290724v1/
GCF_052927245.1	Listeria monocytogenes	1639	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/927/245/GCF_052927245.1_NY_Lm_H29/
GCF_052975125.1	Staphylococcus sp. aM	3037557	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/975/125/GCF_052975125.1_ASM5297512v1/
GCF_053319715.1	Listeria monocytogenes	1639	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/319/715/GCF_053319715.1_ASM5331971v1/
GCF_053524975.1	Staphylococcus chromogenes	46126	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/524/975/GCF_053524975.1_ASM5352497v1/
GCF_053786015.1	Bacillus subtilis	1423	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/786/015/GCF_053786015.1_ASM5378601v1/
GCF_053848085.1	Priestia megaterium	1404	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/848/085/GCF_053848085.1_Priestia_megaterium_AKSKSLAB05_v1/
GCF_054552595.1	Bacillus altitudinis	293387	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/552/595/GCF_054552595.1_ASM5455259v1/
GCF_054880935.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/880/935/GCF_054880935.1_ASM5488093v1/
GCF_054906205.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/906/205/GCF_054906205.1_ASM5490620v1/
GCF_055793705.1	Bacillus cereus	1396	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/793/705/GCF_055793705.1_ASM5579370v1/
GCF_055793905.1	Bacillus cereus	1396	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/793/905/GCF_055793905.1_ASM5579390v1/
GCF_900324355.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/324/355/GCF_900324355.1_10_5235/
GCF_900474615.1	Mammaliicoccus sciuri	1296	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/474/615/GCF_900474615.1_40295_D02/
GCF_900638055.1	Gemella haemolysans	1379	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/055/GCF_900638055.1_55147_A01/
GCF_964057185.1	Staphylococcus aureus	1280	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/057/185/GCF_964057185.1_E3_22S00626-1/
GCF_977007675.1	Bacillus altitudinis	293387	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/007/675/GCF_977007675.1_ASM97700767v1/
