accession	organism_name	species_taxid	ftp_path
GCF_045006675.1	Weissella paramesenteroides	1249	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/006/675/GCF_045006675.1_ASM4500667v1/
GCF_045786175.1	Limosilactobacillus fermentum	1613	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/786/175/GCF_045786175.1_ASM4578617v1/
GCF_046581365.1	Lactobacillus johnsonii	33959	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/046/581/365/GCF_046581365.1_ASM4658136v1/
GCF_046837765.1	Lactobacillus gasseri	1596	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/046/837/765/GCF_046837765.1_ASM4683776v1/
GCF_049532865.1	Lacticaseibacillus paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/532/865/GCF_049532865.1_ASM4953286v1/
GCF_049930715.1	Lacticaseibacillus paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/930/715/GCF_049930715.1_ASM4993071v1/
GCF_049942715.1	Latilactobacillus sakei	1599	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/942/715/GCF_049942715.1_ASM4994271v1/
GCF_050106585.1	Pediococcus pentosaceus	1255	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/106/585/GCF_050106585.1_ASM5010658v1/
GCF_050596945.1	Lacticaseibacillus paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/596/945/GCF_050596945.1_ASM5059694v1/
GCF_050916625.1	Ligilactobacillus agilis	1601	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/916/625/GCF_050916625.1_ASM5091662v1/
GCF_051094935.1	Limosilactobacillus fermentum	1613	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/094/935/GCF_051094935.1_ASM5109493v1/
GCF_051397015.1	Lactobacillus acidophilus	1579	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/397/015/GCF_051397015.1_ASM5139701v1/
GCF_051903945.1	Weissella paramesenteroides	1249	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/903/945/GCF_051903945.1_ASM5190394v1/
GCF_052402805.1	Pediococcus pentosaceus	1255	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/402/805/GCF_052402805.1_ASM5240280v1/
GCF_054073585.1	Weissella cibaria	137591	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/073/585/GCF_054073585.1_ASM5407358v1/
GCF_054461285.1	Lacticaseibacillus paracasei subsp. paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/461/285/GCF_054461285.1_ASM5446128v1/
GCF_054570495.1	Ligilactobacillus salivarius	1624	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/570/495/GCF_054570495.1_ASM5457049v1/
GCF_054962235.1	Leuconostoc mesenteroides	1245	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/962/235/GCF_054962235.1_ASM5496223v1/
GCF_055449735.1	Lactobacillus crispatus	47770	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/449/735/GCF_055449735.1_ASM5544973v1/
GCF_056120565.1	Lactobacillus iners	147802	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/056/120/565/GCF_056120565.1_ASM5612056v1/
GCF_056485265.1	Lactobacillus delbrueckii subsp. bulgaricus	1584	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/056/485/265/GCF_056485265.1_ASM5648526v1/
GCF_900234345.1	Latilactobacillus sakei	1599	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/234/345/GCF_900234345.1_FLEC01_assembly_v1/
GCF_963227115.1	Companilactobacillus paralimentarius	83526	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/227/115/GCF_963227115.1_CpR19081_assembly/
GCF_964062635.1	Pediococcus ethanolidurans	319653	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/062/635/GCF_964062635.1_Pediococcus_ethanolidurans_CIRM-BIA2669/
GCF_964063315.1	Leuconostoc carnosum	1252	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/063/315/GCF_964063315.1_Leuconostoc_carnosum_CIRM-BIA2809/
GCF_965638145.1	Lacticaseibacillus paracasei	1597	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/638/145/GCF_965638145.1_LPKFAL1R_assembly/
GCF_965814075.1	Leuconostoc citreum	33964	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/814/075/GCF_965814075.1_LCVUB19M7_assembly/
GCF_982374355.1	Latilactobacillus fuchuensis	164393	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/982/374/355/GCF_982374355.1_Latilactobacillus_fuchuensis_MFPB42D0601/
