accession	organism_name	species_taxid	ftp_path
GCF_047456285.1	Acetobacterium malicum subsp. dehalogenans DSM 11527	52692	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/456/285/GCF_047456285.1_57435/
GCF_048568315.1	Terrisporobacter petrolearius	1460447	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/568/315/GCF_048568315.1_ASM4856831v1/
GCF_048568335.1	Clostridium perfringens	1502	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/568/335/GCF_048568335.1_ASM4856833v1/
GCF_048568345.1	Clostridium perfringens	1502	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/568/345/GCF_048568345.1_ASM4856834v1/
GCF_048684865.1	Clostridioides difficile	1496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/684/865/GCF_048684865.1_ASM4868486v1/
GCF_049244755.1	Clostridioides difficile	1496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/244/755/GCF_049244755.1_DSM29630_HGAP3_1SC/
GCF_049532795.1	Clostridioides difficile	1496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/532/795/GCF_049532795.1_DSM29752_HGAP2_1SC/
GCF_051148715.1	Acetoanaerobium noterae	745369	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/148/715/GCF_051148715.1_ANDSL2/
GCF_051549605.1	Erysipelothrix rhusiopathiae	1648	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/549/605/GCF_051549605.1_ASM5154960v1/
GCF_051626425.1	Mediterraneibacter gnavus	33038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/626/425/GCF_051626425.1_ASM5162642v1/
GCF_052399495.1	Megasphaera elsdenii	907	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/399/495/GCF_052399495.1_ASM5239949v1/
GCF_053571985.1	Clostridium sp. ETTB3	3438650	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/571/985/GCF_053571985.1_ASM5357198v1/
GCF_054130445.1	Caproiciproducens sp. LBM24188	3450750	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/130/445/GCF_054130445.1_ASM5413044v1/
GCF_054506745.1	Halotolerantifilum yawarlongkerapense	3459703	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/506/745/GCF_054506745.1_ASM5450674v1/
GCF_054570755.1	Clostridium saccharoperbutylacetonicum	36745	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/570/755/GCF_054570755.1_ASM5457075v1/
GCF_054790695.1	Clostridioides difficile	1496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/790/695/GCF_054790695.1_ASM5479069v1/
GCF_055361295.1	Clostridioides difficile	1496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/361/295/GCF_055361295.1_ASM5536129v1/
GCF_055361365.1	Clostridioides difficile	1496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/361/365/GCF_055361365.1_ASM5536136v1/
GCF_055378735.1	Fusibacter fontis	1537567	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/378/735/GCF_055378735.1_ASM5537873v1/
GCF_055390345.1	Clostridium perfringens	1502	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/390/345/GCF_055390345.1_ASM5539034v1/
GCF_055391705.1	Desulfovectis peckii	1236215	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/391/705/GCF_055391705.1_ASM5539170v1/
GCF_056726125.1	Syntrophomonas wolfei subsp. saponavida	863	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/056/726/125/GCF_056726125.1_ASM5672612v1/
GCF_964271975.1	Mediterraneibacter gnavus	33038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/271/975/GCF_964271975.1_LUMC_Rgna_QRD015/
GCF_964271985.1	Mediterraneibacter gnavus	33038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/271/985/GCF_964271985.1_LUMC_Rgna_QRD020/
GCF_964272015.1	Mediterraneibacter gnavus	33038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/272/015/GCF_964272015.1_LUMC_Rgna_QRD014/
GCF_964272125.1	Mediterraneibacter gnavus	33038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/272/125/GCF_964272125.1_LUMC_Rgna_QRD026/
GCF_964272185.1	Mediterraneibacter gnavus	33038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/272/185/GCF_964272185.1_LUMC_Rgna_QRD024/
GCF_964272205.1	Mediterraneibacter gnavus	33038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/272/205/GCF_964272205.1_LUMC_Rgna_QRD011/
GCF_964272265.1	Mediterraneibacter gnavus	33038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/272/265/GCF_964272265.1_LUMC_Rgna_QRD006/
GCF_965569005.1	Dysosmobacter welbionis	2093857	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/569/005/GCF_965569005.1_W52_assembly/
